id,cocount,corep,cocount90,corep90,copctrep,copctrep90,coname
01001,87,36,0,0,41.4,0.0,Autauga County
01003,"1,796",466,20,7,25.9,35.0,Baldwin County
01005,120,22,3,1,18.3,33.3,Barbour County
01007,50,13,0,0,26.0,0.0,Bibb County
01009,195,52,0,0,26.7,0.0,Blount County
01011,87,23,0,0,26.4,0.0,Bullock County
01013,45,15,0,0,33.3,0.0,Butler County
01015,295,72,5,1,24.4,20.0,Calhoun County
01017,"1,060",139,5,1,13.1,20.0,Chambers County
01019,34,11,0,0,32.4,0.0,Cherokee County
01021,253,76,2,0,30.0,0.0,Chilton County
01023,6,5,0,0,83.3,0.0,Choctaw County
01025,22,7,0,0,31.8,0.0,Clarke County
01027,13,1,0,0,7.7,0.0,Clay County
01029,23,2,0,0,8.7,0.0,Cleburne County
01031,397,77,6,1,19.4,16.7,Coffee County
01033,143,29,0,0,20.3,0.0,Colbert County
01035,26,9,1,0,34.6,0.0,Conecuh County
01037,9,4,0,0,44.4,0.0,Coosa County
01039,93,27,1,0,29.0,0.0,Covington County
01041,20,1,0,0,5.0,0.0,Crenshaw County
01043,210,45,1,0,21.4,0.0,Cullman County
01045,189,36,4,2,19.0,50.0,Dale County
01047,17,4,1,0,23.5,0.0,Dallas County
01049,654,188,5,1,28.7,20.0,DeKalb County
01051,236,83,2,0,35.2,0.0,Elmore County
01053,37,8,0,0,21.6,0.0,Escambia County
01055,451,86,0,0,19.1,0.0,Etowah County
01057,9,0,0,0,0.0,0.0,Fayette County
01059,519,123,1,1,23.7,100.0,Franklin County
01061,81,11,1,0,13.6,0.0,Geneva County
01063,0,0,0,0,0.0,0.0,Greene County
01065,24,7,0,0,29.2,0.0,Hale County
01067,19,3,0,0,15.8,0.0,Henry County
01069,491,104,6,0,21.2,0.0,Houston County
01071,112,47,0,0,42.0,0.0,Jackson County
01073,"4,937","1,006",37,4,20.4,10.8,Jefferson County
01075,3,0,0,0,0.0,0.0,Lamar County
01077,203,46,0,0,22.7,0.0,Lauderdale County
01079,50,11,0,0,22.0,0.0,Lawrence County
01081,"1,461",304,20,2,20.8,10.0,Lee County
01083,714,167,3,0,23.4,0.0,Limestone County
01085,3,0,0,0,0.0,0.0,Lowndes County
01087,25,6,3,0,24.0,0.0,Macon County
01089,"1,889",421,22,5,22.3,22.7,Madison County
01091,39,8,0,0,20.5,0.0,Marengo County
01093,72,14,0,0,19.4,0.0,Marion County
01095,"2,237",413,15,0,18.5,0.0,Marshall County
01097,"1,816",546,13,3,30.1,23.1,Mobile County
01099,2,0,0,0,0.0,0.0,Monroe County
01101,"2,097",507,16,0,24.2,0.0,Montgomery County
01103,"1,221",270,7,2,22.1,28.6,Morgan County
01105,6,2,0,0,33.3,0.0,Perry County
01107,49,11,4,2,22.4,50.0,Pickens County
01109,64,27,0,0,42.2,0.0,Pike County
01111,46,7,0,0,15.2,0.0,Randolph County
01113,164,38,1,0,23.2,0.0,Russell County
01115,120,38,0,0,31.7,0.0,St. Clair County
01117,"1,146",344,7,3,30.0,42.9,Shelby County
01119,3,0,0,0,0.0,0.0,Sumter County
01121,128,31,2,2,24.2,100.0,Talladega County
01123,116,46,1,0,39.7,0.0,Tallapoosa County
01125,838,207,0,0,24.7,0.0,Tuscaloosa County
01127,200,53,0,0,26.5,0.0,Walker County
01129,6,0,0,0,0.0,0.0,Washington County
01131,5,0,0,0,0.0,0.0,Wilcox County
01133,61,11,1,0,18.0,0.0,Winston County
02013,1,0,0,0,0.0,0.0,Aleutians East Borough
02016,4,2,2,0,50.0,0.0,Aleutians West Census Area
02020,461,203,16,1,44.0,6.3,Anchorage Municipality
02050,1,0,1,0,0.0,0.0,Bethel Census Area
02060,1,0,0,0,0.0,0.0,Bristol Bay Borough
02068,0,0,0,0,0.0,0.0,Denali Borough
02070,0,0,0,0,0.0,0.0,Dillingham Census Area
02090,73,22,4,2,30.1,50.0,Fairbanks North Star Borough
02100,0,0,0,0,0.0,0.0,Haines Borough
02105,0,0,0,0,0.0,0.0,Hoonah-Angoon Census Area
02110,28,13,0,0,46.4,0.0,Juneau City and Borough
02122,8,2,2,1,25.0,50.0,Kenai Peninsula Borough
02130,4,3,0,0,75.0,0.0,Ketchikan Gateway Borough
02150,8,1,0,0,12.5,0.0,Kodiak Island Borough
02158,0,0,0,0,0.0,0.0,Kusilvak Census Area
02164,0,0,0,0,0.0,0.0,Lake and Peninsula Borough
02170,21,15,0,0,71.4,0.0,Matanuska-Susitna Borough
02180,2,2,0,0,100.0,0.0,Nome Census Area
02185,0,0,0,0,0.0,0.0,North Slope Borough
02188,0,0,0,0,0.0,0.0,Northwest Arctic Borough
02195,0,0,0,0,0.0,0.0,Petersburg Borough
02198,0,0,0,0,0.0,0.0,Prince of Wales-Hyder Census Area
02220,1,1,0,0,100.0,0.0,Sitka City and Borough
02230,0,0,0,0,0.0,0.0,Skagway Municipality
02240,0,0,0,0,0.0,0.0,Southeast Fairbanks Census Area
02261,0,0,0,0,0.0,0.0,Valdez-Cordova Census Area
02275,0,0,0,0,0.0,0.0,Wrangell City and Borough
