id	cscount	csrep	cscount90	csrep90	cspctrep	cspctrep90	csname
0100190171	2	1	0	0	50.0	0.0	Autaugaville
0100190315	5	3	0	0	60.0	0.0	Billingsley
0100192106	6	2	0	0	33.3	0.0	Marbury
0100192628	74	30	0	0	40.5	0.0	Prattville
0100390207	63	18	2	0	28.6	0.0	Bay Minette
0100390846	68	16	2	2	23.5	100.0	Daphne
0100390963	62	15	0	0	24.2	0.0	Elberta
0100391053	143	27	0	0	18.9	0.0	Fairhope
0100391152	1,026	259	10	3	25.2	30.0	Foley
0100392754	312	95	6	2	30.4	33.3	Robertsdale
0100393024	3	0	0	0	0.0	0.0	Stockton
0100393042	119	35	0	0	29.4	0.0	Summerdale
0100590189	16	3	0	0	18.8	0.0	Bakerhill
0100590630	1	0	0	0	0.0	0.0	Clayton
0100590648	35	6	3	1	17.1	33.3	Clio
0100591017	68	13	0	0	19.1	0.0	Eufaula
0100591989	0	0	0	0	0.0	0.0	Louisville
0100790531	19	6	0	0	31.6	0.0	Centreville-Brent
0100792601	3	2	0	0	66.7	0.0	Piper-Coleanor
0100793438	28	6	0	0	21.4	0.0	West Blocton
0100990333	32	5	0	0	15.6	0.0	Blountsville
0100990414	36	8	0	0	22.2	0.0	Brooksville
0100990612	26	6	0	0	23.1	0.0	Clarence
0100990639	14	5	0	0	35.7	0.0	Cleveland
0100991557	4	0	0	0	0.0	0.0	Hayden
0100991953	15	5	0	0	33.3	0.0	Locust Fork
0100992439	68	22	0	0	32.4	0.0	Oneonta
0101191098	2	0	0	0	0.0	0.0	Fitzpatrick
0101191701	11	3	0	0	27.3	0.0	Inverness
0101192133	2	0	0	0	0.0	0.0	Midway
0101193249	73	19	0	0	26.0	0.0	Union Springs
0101390540	2	1	0	0	50.0	0.0	Chapman
0101391170	3	1	0	0	33.3	0.0	Forest Home
0101391314	0	0	0	0	0.0	0.0	Georgiana-McKenzie
0101391422	39	13	0	0	33.3	0.0	Greenville
0101590066	3	1	0	0	33.3	0.0	Alexandria-Webster Chapel
0101590099	255	57	5	1	22.4	20.0	Anniston
0101590585	20	9	0	0	45.0	0.0	Choccolocco
0101591746	6	0	0	0	0.0	0.0	Jacksonville
0101592430	7	2	0	0	28.6	0.0	Ohatchee
0101592556	4	3	0	0	75.0	0.0	Piedmont
0101791107	11	2	0	0	18.2	0.0	Five Points
0101791818	11	1	0	0	9.1	0.0	La Fayette
0101791827	296	40	1	0	13.5	0.0	Lanett
0101792169	2	0	0	0	0.0	0.0	Milltown
0101793272	736	95	4	1	12.9	25.0	Valley
0101793393	5	1	0	0	20.0	0.0	Waverly
0101990513	1	0	0	0	0.0	0.0	Cedar Bluff-Gaylesville
0101990522	13	4	0	0	30.8	0.0	Centre
0101991854	13	4	0	0	30.8	0.0	Leesburg
0101992983	7	2	0	0	28.6	0.0	Spring Garden
0102190603	81	24	1	0	29.6	0.0	Clanton
0102191710	16	5	0	0	31.3	0.0	Isabella-Pletcher
0102191764	113	33	1	0	29.2	0.0	Jemison
0102192097	3	2	0	0	66.7	0.0	Maplesville
0102192178	18	5	0	0	27.8	0.0	Mineral Springs
0102193285	23	8	0	0	34.8	0.0	Verbena
0102390441	5	4	0	0	80.0	0.0	Butler
0102391332	1	1	0	0	100.0	0.0	Gilbertown-Toxey
0102391908	0	0	0	0	0.0	0.0	Lisman
0102392925	0	0	0	0	0.0	0.0	Silas
0102590675	0	0	0	0	0.0	0.0	Coffeeville
