name,field_office,street,city,state,zipcode
Abyon | Farmville Detention Center,Washington Field Office,508 Waterworks Road,Farmville,VA,23901
Adams County Correctional Center,New Orleans Field Office,20 Hobo Forks Road,Natchez,MS,39120
Adelanto ICE Processing Center,Los Angeles Field Office,Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road,Adelanto,CA,92301
Alamance County Detention Center,Atlanta Field Office,109 South Maple Street,Graham,NC,27253
Allen Parish Public Safety Complex,New Orleans Field Office,7340 Highway 26 W,Oberlin,LA,70655
Baker County Detention Center,Miami Field Office,1 Sheriff's Office Drive,MacClenny,FL,32063
Bluebonnet Detention Facility,Dallas Field Office,400 2nd Street,Anson,TX,79501
Boone County Jail,Chicago Field Office,3020 Conrad Lane,Burlington,KY,41005
Broward Transitional Center,Miami Field Office,3900 N. Powerline Road,Pompano Beach,FL,33073
Buffalo (Batavia) Service Processing Center,Buffalo Field Office,4250 Federal Drive,Batavia,NY,14020
Butler County Sheriff’s Office,Detroit Field Office,705 Hanover Street,Hamilton,OH,45011
Calhoun County Correctional Center,Detroit Field Office,185 E. Michigan Street,Battle Creek,MI,49014
Campbell County Detention Center,Chicago Field Office,601 Central Avenue,Newport,KY,41071
Caroline Detention Facility,Washington Field Office,11093 SW Lewis Memorial Dr,Bowling Green,VA,22427
Central Arizona Florence Correctional Center,Phoenix Field Office,1100 Bowling Road,Florence,AZ,85132
Central Louisiana ICE Processing Center,New Orleans Field Office,830 Pine Hill Road,Jena,LA,71342
Chase County Jail,Chicago Field Office,301 South Walnut,Cottonwood Falls,KS,66845
Chippewa County Correctional Facility,Detroit Field Office,325 Court Street,Sault Ste. Marie,MI,49783
Cibola County Correctional Center,El Paso Field Office,2000 Cibola Loop,Milan,NM,87021
Clark County Jail,Chicago Field Office,501 E Court Avenue,Jeffersonville,IN,47130
Clay County Jail,Chicago Field Office,611 East Jackson Street,Brazil,IN,47834
Clinton County Correctional Facility,Philadelphia Field Office,58 Pine Mountain Road,McElhattan,PA,17748
Clinton County Jail,Buffalo Field Office,25 McCarthy Drive,Plattsburgh,NY,12901
Clinton County Sheriff's Office,Chicago Field Office,301 E Walnut Street,Frankfort,IN,46041
CNMI Department of Corrections,San Francisco Field Office,"Vincente Taman Seman Building, Susupe",Saipan,MP,96950
Coastal Bend Detention Center,Harlingen Field Office,4909 Farm to Market Road,Robstown,TX,78380
CoreCivic Laredo Processing Center,Harlingen Field Office,4702 East Saunders,Laredo,TX,78401
CoreCivic Webb County Detention Center,Harlingen Field Office,9998 S. Highway 83,Laredo,TX,78046
Corrections Center of Northwest Ohio (CCNO),Detroit Field Office,03151 Co. Rd. 24.2,Stryker,OH,43557
Cumberland County Jail,Boston Field Office,50 County Way,Portland,ME,04102
Delaney Hall Detention Facility,Newark Field Office,451 Doremus Avenue,Newark,NJ,07105
Denver Contract Detention Facility (Aurora),Denver Field Office,3130 North Oakland Street,Aurora,CO,80010
Desert View Annex,Los Angeles Field Office,10450 Rancho Road,Adelanto,CA,92301
Dilley Immigration Processing Center,San Antonio Field Office,300 El Rancho Way,Dilley,TX,78017
Dodge Detention Facility,Chicago Field Office,216 W. Center Street,Juneau,WI,53039
East Hidalgo Detention Center,Harlingen Field Office,1300 E Hwy 107,La Villa,TX,78562
Eden Detention Center,Dallas Field Office,704 E Broadway Street,Eden,TX,76837
El Paso Service Processing Center,El Paso Field Office,8915 Montana Avenue,El Paso,TX,79925
El Valle Detention Facility,Harlingen Field Office,1800 Industrial Drive,Raymondville,TX,78580
Elizabeth Contract Detention Facility,Newark Field Office,625 Evans Street,Elizabeth,NJ,07201
Elmore County Detention Center (Elmore County Jail),Salt Lake City Field Office,2255 East 8th North,Mountain Home,ID,83647
Eloy Detention Center,Phoenix Field Office,1705 E Hanna Rd,Eloy,AZ,85131
