name,field_office,street,city,state,zipcode,Latitude,Longitude
Abyon | Farmville Detention Center,Washington Field Office,508 Waterworks Road,Farmville,VA,23901,37.32385319999999,-78.4370283
Adams County Correctional Center,New Orleans Field Office,20 Hobo Forks Road,Natchez,MS,39120,31.5574938,-91.2217027
Adelanto ICE Processing Center,Los Angeles Field Office,Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road,Adelanto,CA,92301,34.5591013,-117.4414952
Alamance County Detention Center,Atlanta Field Office,109 South Maple Street,Graham,NC,27253,36.0684415,-79.4034501
Allen Parish Public Safety Complex,New Orleans Field Office,7340 Highway 26 W,Oberlin,LA,70655,30.624485,-92.783878
Baker County Detention Center,Miami Field Office,1 Sheriff's Office Drive,MacClenny,FL,32063,30.29596799999999,-82.1217298
Bluebonnet Detention Facility,Dallas Field Office,400 2nd Street,Anson,TX,79501,32.768061,-99.8945475
Boone County Jail,Chicago Field Office,3020 Conrad Lane,Burlington,KY,41005,39.0365031,-84.7283616
Broward Transitional Center,Miami Field Office,3900 N. Powerline Road,Pompano Beach,FL,33073,26.2777097,-80.1521559
Buffalo (Batavia) Service Processing Center,Buffalo Field Office,4250 Federal Drive,Batavia,NY,14020,43.0201451,-78.2023932
Butler County Sheriff’s Office,Detroit Field Office,705 Hanover Street,Hamilton,OH,45011,39.3875859,-84.5557427
Calhoun County Correctional Center,Detroit Field Office,185 E. Michigan Street,Battle Creek,MI,49014,42.3166565,-85.1757947
Campbell County Detention Center,Chicago Field Office,601 Central Avenue,Newport,KY,41071,39.08908419999999,-84.4963222
Caroline Detention Facility,Washington Field Office,11093 SW Lewis Memorial Dr,Bowling Green,VA,22427,38.1116967,-77.26721069999999
Central Arizona Florence Correctional Center,Phoenix Field Office,1100 Bowling Road,Florence,AZ,85132,33.0440833,-111.3717718
Central Louisiana ICE Processing Center,New Orleans Field Office,830 Pine Hill Road,Jena,LA,71342,31.7089427,-92.1505809
Chase County Jail,Chicago Field Office,301 South Walnut,Cottonwood Falls,KS,66845,38.3678625,-96.5386875
Chippewa County Correctional Facility,Detroit Field Office,325 Court Street,Sault Ste. Marie,MI,49783,46.4973719,-84.3455596
Cibola County Correctional Center,El Paso Field Office,2000 Cibola Loop,Milan,NM,87021,35.1799003,-107.907208
Clark County Jail,Chicago Field Office,501 E Court Avenue,Jeffersonville,IN,47130,38.277738,-85.73775429999999
Clay County Jail,Chicago Field Office,611 East Jackson Street,Brazil,IN,47834,39.5237009,-87.1190405
Clinton County Correctional Facility,Philadelphia Field Office,58 Pine Mountain Road,McElhattan,PA,17748,41.150948,-77.349728
Clinton County Jail,Buffalo Field Office,25 McCarthy Drive,Plattsburgh,NY,12901,44.72054319999999,-73.4670063
Clinton County Sheriff's Office,Chicago Field Office,301 E Walnut Street,Frankfort,IN,46041,40.2792086,-86.50877799999999
CNMI Department of Corrections,San Francisco Field Office,"Vincente Taman Seman Building, Susupe",Saipan,MP,96950,15.1677039,145.7101145
Coastal Bend Detention Center,Harlingen Field Office,4909 Farm to Market Road,Robstown,TX,78380,27.7370237,-97.7547511
CoreCivic Laredo Processing Center,Harlingen Field Office,4702 East Saunders,Laredo,TX,78401,27.5292214,-99.44793399999999
CoreCivic Webb County Detention Center,Harlingen Field Office,9998 S. Highway 83,Laredo,TX,78046,27.3698802,-99.49025619999999
Corrections Center of Northwest Ohio (CCNO),Detroit Field Office,03151 Co. Rd. 24.2,Stryker,OH,43557,41.4587547,-84.3572114
Cumberland County Jail,Boston Field Office,50 County Way,Portland,ME,04102,43.6507126,-70.28213389999999
Delaney Hall Detention Facility,Newark Field Office,451 Doremus Avenue,Newark,NJ,07105,40.7175784,-74.1279071
Denver Contract Detention Facility (Aurora),Denver Field Office,3130 North Oakland Street,Aurora,CO,80010,39.7614567,-104.8494748
Desert View Annex,Los Angeles Field Office,10450 Rancho Road,Adelanto,CA,92301,34.5588215,-117.4372847
