title,link,date,category
"2025 Pinellas County Jail, Clearwater, FL - May 13, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/pinellasCoJail_ClearwaterFL_05.13.2025.pdf,"Jun 13
2025",N/A
"2025 East Hidalgo Detention Center, La Villa, TX - May 20, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/eastHidalgoDetCntr_LaVillaTX_05.20.2025.pdf,"Jun 13
2025",N/A
"2025 Sweetwater County Jail, Rock Springs, WY - May 8, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/sweetwaterCoJail_RockSpringsWY_05.08.2025.pdf,"Jun 13
2025",N/A
"EROIGSA-14-0001 P00042-P00043 Otero County Processing Center IGSA – Chaparral, NM",https://www.ice.gov/doclib/foia/detFacContracts/EROIGSA140001_P00042-43_OteroCoCntr_ChaparralNM.pdf,"Jun 11
2025",N/A
"DROIGSA-07-0029 P00054: Polk County Adult Detention Facility IGSA – Livingston, TX",https://www.ice.gov/doclib/foia/detFacContracts/DROIGSA070029_P00054_PolkCoLivingstonTX.pdf,"Jun 11
2025",N/A
"70CDCR20DIG000008 P00006: Finney County IGSA – Garden City, KS",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20DIG000008_P00006_FinneyCoGardenCityKS.pdf,"Jun 11
2025",N/A
"70CDCR21DIG000012 P00017: Moshannon Valley Processing Center - Philipsburg, PA",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR21DIG000012_P00017_MoshannonValleyPC_PA.pdf,"Jun 11
2025",N/A
"70CDCR20DIG000005 P00006: Hancock County IGSA – Bay St. Louis, MS",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20DIG000005_P00006_HancockCo_BayStLouisMS.pdf,"Jun 11
2025",N/A
"70CDCR19DIG000006 P00016-P00017 Richwood Town IGSA – Richwood, LA",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR19DIG000006_P00016-17_RichwoodTown.pdf,"Jun 11
2025",N/A
"70CDCR18DIG000012 P00033: South Texas Family Residential Center IGSA – Dilley, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR18DIG000012_P00033_SouthTexasFRC_DilleyTX.pdf,"Jun 11
2025",N/A
"70CDCR18DIG000010 P00033: Laredo Processing Center (Webb County) IGSA – Laredo, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR18DIG000010_P00033_LaredoProcCntrWebbCo_LaredoTX.pdf,"Jun 11
2025",N/A
2025-03 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2025-03_FOIA_Log.xlsx,"Jun 09
2025",N/A
2025-04 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2025-04_FOIA_Log.xlsx,"Jun 09
2025",N/A
2025-02 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2025-02_FOIA_Log.xlsx,"Jun 09
2025",N/A
2025-01 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2025-01_FOIA_Log.xlsx,"Jun 09
2025",N/A
2024-12 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2024-12_FOIA_Log.xlsx,"Jun 09
2025",N/A
2024-11 FOIA Log,https://www.ice.gov/doclib/foia/icefoialogs/2024-11_FOIA_Log.xlsx,"Jun 09
2025",N/A
"Pike County Correctional Facility – Sep. 17-19, 2024",https://www.ice.gov/doclib/foia/prea_audit/PikeCoCorrFac_Sep17-19_2024.pdf,"Jun 09
2025",N/A
"ODT-5-C-0010 P00072: Elizabeth Contract Detention Facility – Elizabeth, NJ",https://www.ice.gov/doclib/foia/detFacContracts/ODT-5-C-0010-P00072-ElizabethCDF-ElizabethNJ.pdf,"Jun 05
2025",N/A
"DROIGSA-07-0024 P00014: Collier County IGSA – Naples, FL",https://www.ice.gov/doclib/foia/detFacContracts/DROIGSA-07-0024-P00014-CollierCountyIGSA-NaplesFL.pdf,"Jun 05
2025",N/A
"70CDCR19DIG000016 P00024: Adams County Correctional Center IGSA - Natchez, MS",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR19DIG000016-P00024-AdamsCountyIGSA-NatchezMS.pdf,"Jun 05
2025",N/A
"70CDCR21D00000004 P00017: Broward CDF – Pompano Beach, FL",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR21D00000004-P00017-BrowardCDF-PompanoBeachFL.pdf,"Jun 05
2025",N/A
"70CDCR22D00000002 P00022-P00023: Port Isabel SPC (NEW) IGSA – Los Fresnos, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR22D00000002-P00022-P00023-PortIsabelSPCIGSA-LosFresnosTX.pdf,"Jun 05
2025",N/A
"70CDCR23D00000004 P00005: Aguadilla Puerto Rico Facility – Aguadilla, PR",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR23D00000004-P00005-AguadillaPR.pdf,"Jun 05
2025",N/A
"70CDCR23DIG000007 P00010-P00011: El Valle Detention Facility IGSA – Raymondville, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR23DIG000007-P00010-P00011-ElValleIGSA-RaymondvilleTX.pdf,"Jun 05
2025",N/A
"70CDCR24DIG000006 P00004: Farmville Town of IGSA – Farmville, VA",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24DIG000006-P00004-FarmvilleIGSA-FarmvilleVA.pdf,"Jun 05
2025",N/A
"70CDCR25DIG000008 P00001: Concordia Parish (River) IGSA – Ferriday, LA",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR25DIG000008-P00001-ConcordiaParishIGSA-FerridayLA.pdf,"Jun 05
2025",N/A
SEVIS by the Numbers Annual Report: 2024,https://www.ice.gov/doclib/sevis/btn/25_0605_2024-sevis-btn.pdf,"Jun 05
2025",N/A
"2025 Caroline Detention Center, Bowling Green, VA - Apr. 15-17, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-CarolineDetention Facility-BowlingGreenVA-April.pdf,"Jun 05
2025",N/A
"2025 Krome North Service Processing Center, Miami, FL - Apr. 29 - May 1,  2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-KromeNorthSPC-MiamiFL-April.pdf,"Jun 05
2025",N/A
"2025 Washington County Detention Center, Fayetteville, AR - Apr. 24, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-WashingtonCounty-FayettevilleAR-April.pdf,"Jun 05
2025",N/A
"2025 Pine Prairie ICE Processing Center, Pine Prairie, LA - Apr. 8-10, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/PinePrairieIPC_PinePrairie_LA_Apr8-10_2025.pdf,"Jun 03
2025",N/A
"Directive: 11072.4 Civil Immigration Enforcement Actions In or Near Courthouses (May 27, 2025)",https://www.ice.gov/doclib/foia/policy/11072.4.pdf,"Jun 03
2025",N/A
"El Paso Service Processing Center – July 16-18, 2024",https://www.ice.gov/doclib/foia/prea_audit/elPasoSPC_Jul16-18_2024.pdf,"May 29
2025",N/A
"2025 Hancock County Public Safety Complex, Bay St. Louis, MS - May 8, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-HancockCountyPSC-BayStLouisMS-May.pdf,"May 22
2025",N/A
"Memo: HSI - Evidence Timeframes - Dec. 18, 2024",https://www.ice.gov/doclib/foia/policy/memoHSI_EvidenceTimeframes_12182024.pdf,"May 21
2025",N/A
"Memo: HSI - Changes to Purchase of Evidence Tracking in SEACATS - Mar. 14, 2025",https://www.ice.gov/doclib/foia/policy/memoHSI_ChangesPurchaseEvidenceTrackingSEACATS_03142025.pdf,"May 21
2025",N/A
"Memo: HSI - Assists and Transfer of Seized Property - Sep. 30, 2024",https://www.ice.gov/doclib/foia/policy/memoHSI_AssistsTransferSeizedProperty_09302024.pdf,"May 21
2025",N/A
"Memo: Detained Noncitizen Transfers Required Due to a Healthcare Condition (May 19, 2022)",https://www.ice.gov/doclib/foia/policy/DetainedNoncitizenTransfersRequiredDueToHealthcareCondition_05192022.pdf,"May 19
2025",N/A
"2025 Dodge County Jail, Juneau, WI - Apr. 1-3, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/DodgeCoJail_JuneauWI_Apr1-3_2025.pdf,"May 15
2025",N/A
"2025 Mesa Verde ICE Processing Center, Bakersfield, CA - Apr. 15-17, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-MesaVerdeIPC-BakersfieldCA-April.pdf,"May 13
2025",N/A
"2025 Chittenden Regional Correctional Facility, South Burlington, VT - Apr. 24, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-ChittendenRCF-SouthBurlingtonVT-April.pdf,"May 13
2025",N/A
"2025 Laredo Processing Cener, Laredo, TX - Mar. 18-20, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-LaredoPC-LaredoTX-March.pdf,"May 13
2025",N/A
"2025 Strafford County Corrections, Dover, NH - Mar. 25-27, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2025-StraffordCountyCorr-DoverNH-March.pdf,"May 13
2025",N/A
"70CDCR18DIG000010 P00029-P00031: Laredo Processing Center (Webb County) IGSA – Laredo, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR18DIG000010-P00029-P00031-LaredoPC-WebbCo-IGSA-LaredoTX.pdf,"May 12
2025",N/A
"005-2025 Delegation of Limited Customs Officer Enforcement Authority to Enforcement and Removal Operations (Apr. 16, 2025)",https://www.ice.gov/doclib/foia/policy/005-2025_DelegationLimitedCustomsOfficerEnfAuthorityToERO.pdf,"May 12
2025",N/A
"2025 Nevada Southern Detention Center, Pahrump, NV - Mar. 25-27, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/NevadaSouthernDetCntr_PahrumpNV_Mar25-27_2025.pdf,"May 12
2025",N/A
"2025 Port Isabel Service Processing Center, Los Fresnos, TX - Mar. 25-27, 2025",https://www.ice.gov/doclib/foia/odo-compliance-inspections/PortIsabel_SPC_LosFresnosTX_Mar25-27_2025.pdf,"May 12
2025",N/A
"70CDCR24R00000013: Buffalo Federal Detention Facility – Batavia, NY",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24R00000013-RFP-BUF.pdf,"May 09
2025",N/A
"70CDCR24R00000013-A0003: Buffalo Federal Detention Facility – Batavia, NY",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24R00000013-A0003-RFP-BUF.pdf,"May 09
2025",N/A
"70CDCR24R00000013-A0002: Buffalo Federal Detention Facility – Batavia, NY",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24R00000013-A0002-RFP-BUF.pdf,"May 09
2025",N/A
"70CDCR24R00000013-A0001: Buffalo Federal Detention Facility – Batavia, NY",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24R00000013-A0001-RFP-BUF.pdf,"May 09
2025",N/A
"EROIGSA-17-0003 P00024: Cibola County Correctional Center IGSA – Milan, NM",https://www.ice.gov/doclib/foia/detFacContracts/EROIGSA-17-0003-P00024-CibolaCounty-IGSA-Milan.pdf,"May 09
2025",N/A
"EROIGSA-12-0004 P00012: Strafford County Corrections IGSA – Dover, NH",https://www.ice.gov/doclib/foia/detFacContracts/EROIGSA-12-0004-P00012-StraffordCounty-IGSA-Dover.pdf,"May 09
2025",N/A
"70CDCR25D00000007 P00001: Delaney Hall CDF – Newark, NJ",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR25D00000007_P00001_Delaney_Hall_CDF_Newark_NJ.pdf,"May 09
2025",N/A
"70CDCR24D00000009 P00003-P00004: Krome SPC IGSA – Miami, FL",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR24D00000009_P00003-P00004_Krome_SPC_IGSA _Miami_FL.pdf,"May 09
2025",N/A
"70CDCR22D00000012 P00012-P00014: El Paso SPC – El Paso, TX",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR22D00000012_P00012-P00014_El_Paso_SPC_El_Paso_TX.pdf,"May 09
2025",N/A
"70CDCR20D00000006 P00019-P00020: Imperial Regional CDF – Calexico, CA",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000006_P00019-P00020_Imperial_Regional_CDF_Calexico_CA.pdf,"May 09
2025",N/A
