Facility Name,City,State,Facility Type,AOR,Latitude,Longitude
ROBERT A. DEYTON DETENTION FACILITY,LOVEJOY,GA,Contract Detention Facility,Atlanta AOR,33.4349109,-84.3064539
ANNEX - FOLKSTON IPC,FOLKSTON,GA,Dedicated Inter-Governmental Service Agreement,Atlanta AOR,30.8713845,-81.9811062
MAIN - FOLKSTON IPC (D RAY JAMES),FOLKSTON,GA,Dedicated Inter-Governmental Service Agreement,Atlanta AOR,30.8713845,-81.9811062
STEWART DETENTION CENTER,LUMPKIN,GA,Dedicated Inter-Governmental Service Agreement,Atlanta AOR,32.036603,-84.77183199999999
ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,Inter-Governmental Service Agreement,Atlanta AOR,36.0684458,-79.40342079999999
CHARLESTON COUNTY DETENTION CENTER,NORTH CHARLESTON,SC,U.S. Marshals Service Inter-Governmental Agreement,Atlanta AOR,32.8449995,-80.01382250000002
IRWIN COUNTY DETENTION CENTER,OCILLA,GA,U.S. Marshals Service Inter-Governmental Agreement,Atlanta AOR,31.5798201,-83.25536380000001
FREDERICK COUNTY DETENTION CENTER,FREDERICK,MD,Inter-Governmental Service Agreement,Baltimore AOR,39.3655231,-77.4134737
HOWARD COUNTY DETENTION CENTER,JESSUP,MD,Inter-Governmental Service Agreement,Baltimore AOR,39.1692721,-76.7820301
WORCESTER COUNTY JAIL,SNOW HILL,MD,Inter-Governmental Service Agreement,Baltimore AOR,38.1698775,-75.3759013
BRISTOL COUNTY DETENTION CENTER,NORTH DARTMOUTH,MA,Inter-Governmental Service Agreement,Boston AOR,41.6656931,-70.9955888
PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA,Inter-Governmental Service Agreement,Boston AOR,41.9311715,-70.652014
STRAFFORD COUNTY CORRECTIONS,DOVER,NH,Inter-Governmental Service Agreement,Boston AOR,43.2184106,-70.9405041
SUFFOLK COUNTY HOUSE OF CORRECTIONS,BOSTON,MA,Inter-Governmental Service Agreement,Boston AOR,42.3344149,-71.067724
CUMBERLAND COUNTY JAIL,PORTLAND,ME,U.S. Marshals Service Inter-Governmental Agreement,Boston AOR,43.6509066,-70.2816881
FRANKLIN COUNTY HOUSE OF CORRECTION,GREENFIELD,MA,U.S. Marshals Service Inter-Governmental Agreement,Boston AOR,42.5970191,-72.6125259
WYATT DETENTION CENTER,PROVIDENCE,RI,U.S. Marshals Service Inter-Governmental Agreement,Boston AOR,41.8925423,-71.3837997
CHAUTAUQUA COUNTY JAIL,MAYVILLE,NY,Inter-Governmental Service Agreement,Buffalo AOR,42.2546768,-79.5038371
BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,Service Processing Center,Buffalo AOR,43.0202999,-78.2027918
ALBANY COUNTY JAIL,ALBANY,NY,U.S. Marshals Service Inter-Governmental Agreement,Buffalo AOR,42.7512648,-73.81569309999999
CLINTON COUNTY JAIL,PLATTSBURGH,NY,U.S. Marshals Service Inter-Governmental Agreement,Buffalo AOR,44.7202277,-73.4671479
CHASE COUNTY DETENTION FACILITY,COTTONWOOD FALLS,KS,Contract Detention Facility,Chicago AOR,38.3672705,-96.5385385
CALDWELL COUNTY DETENTION CENTER,KINGSTON,MO,Inter-Governmental Service Agreement,Chicago AOR,39.64238659999999,-94.0467378
CHRISTIAN COUNTY JAIL,OZARK,MO,Inter-Governmental Service Agreement,Chicago AOR,37.0198514,-93.2055086
LINCOLN COUNTY DETENTION CENTER,TROY,MO,Inter-Governmental Service Agreement,Chicago AOR,38.9716718,-90.9637509
MONTGOMERY COUNTY JAIL,MONTGOMERY CITY,MO,Inter-Governmental Service Agreement,Chicago AOR,38.9795184,-91.5047146
MORGAN COUNTY ADULT DETENTION CENTER,VERSAILLES,MO,Inter-Governmental Service Agreement,Chicago AOR,38.4318639,-92.83980620000001
OGLE COUNTY JAIL,OREGON,IL,Inter-Governmental Service Agreement,Chicago AOR,42.0143861,-89.33514079999999
OLDHAM COUNTY JAIL,LA GRANGE,KY,Inter-Governmental Service Agreement,Chicago AOR,38.3892582,-85.4237739
PLATTE COUNTY DETENTION CENTER,PLATTE CITY,MO,Inter-Governmental Service Agreement,Chicago AOR,39.3714276,-94.780186
PULASKI COUNTY JAIL,ULLIN,IL,Inter-Governmental Service Agreement,Chicago AOR,37.2690468,-89.1643217
SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,TOPEKA,KS,Inter-Governmental Service Agreement,Chicago AOR,39.0497127,-95.6738451
BOONE COUNTY JAIL,BURLINGTON,KY,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,39.0365031,-84.7283616
BUTLER COUNTY JAIL,EL DORADO,KS,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,37.8167639,-96.85151139999999
CLAY COUNTY JAIL,BRAZIL,IN,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,39.5240355,-87.1192269
DODGE COUNTY JAIL,JUNEAU,WI,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,43.4070326,-88.7062086
KANKAKEE COUNTY JAIL (JEROME COMBS DET CTR),KANKAKEE,IL,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,41.0756796,-87.8581207
KENOSHA COUNTY DETENTION CENTER,KENOSHA,WI,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,42.594321,-87.9118637
MCHENRY COUNTY CORRECTIONAL FACILITY,WOODSTOCK,IL,U.S. Marshals Service Inter-Governmental Agreement,Chicago AOR,42.3416333,-88.44132
PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,Dedicated Inter-Governmental Service Agreement,Dallas AOR,32.4217129,-97.1958755
JOHNSON COUNTY CORRECTIONS CENTER,CLEBURNE,TX,Inter-Governmental Service Agreement,Dallas AOR,32.3743014,-97.3890369
JONES COUNTY DETENTION CENTER,ANSON,TX,Inter-Governmental Service Agreement,Dallas AOR,32.7670051,-99.8880543
KAY COUNTY JUSTICE FACILITY,NEWKIRK,OK,Inter-Governmental Service Agreement,Dallas AOR,36.8678591,-97.0691621
OKMULGEE COUNTY JAIL,OKMULGEE,OK,Inter-Governmental Service Agreement,Dallas AOR,35.6227771,-95.97618709999999
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK,Inter-Governmental Service Agreement,Dallas AOR,36.1573505,-95.999268
EDEN DETENTION CENTER,EDEN,TX,U.S. Marshals Service Inter-Governmental Agreement,Dallas AOR,31.2166706,-99.8337967
ROLLING PLAINS DETENTION CENTER,HASKELL,TX,U.S. Marshals Service Inter-Governmental Agreement,Dallas AOR,33.1771087,-99.72138969999999
DENVER CONTRACT DETENTION FACILITY,AURORA,CO,Contract Detention Facility,Denver AOR,39.7608904,-104.849106
DENVER CONTRACT DETENTION FACILITY (CDF) II,AURORA,CO,Contract Detention Facility,Denver AOR,39.7608904,-104.849106
