title,description,date,url
Los Angeles Dodgers donate $1m to families affected by Ice raids,,2025-06-21,https://www.theguardian.com/sport/2025/jun/21/los-angeles-dodgers-ice-raids
Thousands of Afghans face expulsion from US as Trump removes protections,,2025-06-21,https://www.theguardian.com/us-news/2025/jun/21/afghanistan-trump-deportation-threat
"As Ice infiltrates LA, neighborhoods fall quiet: ‘We can’t even go out for a walk’",,2025-06-21,https://www.theguardian.com/us-news/2025/jun/21/los-angeles-ice-immigration-raids-impact
Community Defense Groups Take the Last Stand Against ICE in LA,,2025-06-21,https://theintercept.com/2025/06/21/los-angeles-ice-raids-immigrants-organizing/
Mahmoud Khalil arrives in New Jersey after release from ICE custody,,2025-06-21,https://www.cbsnews.com/newyork/news/mahmoud-khalil-ice-detention-release-arrives-new-jersey/
"JD Vance mocks Sen. Alex Padilla, criticizes California officials",,2025-06-21,https://www.upi.com/Top_News/US/2025/06/21/los-angeles-california-alex-padilla-jd-vance/8411750521843/
‘Authoritarian playbook’: DHS accuses critics of assaulting officers when videos say otherwise,,2025-06-21,https://www.theguardian.com/us-news/2025/jun/21/dhs-violence-false-claims
‘New Yorkers have been betrayed’: can Zohran Mamdani become the most progressive mayor in the city’s history?,,2025-06-21,https://www.theguardian.com/us-news/2025/jun/21/zohran-mamdani-profile
Mahmoud Khalil speaks after release from Ice detention – video,,2025-06-21,https://www.theguardian.com/us-news/video/2025/jun/21/mahmoud-khalil-released-from-us-detention-after-more-than-three-months-video
Mahmoud Khalil reunites with family after more than 100 days in Ice detention,,2025-06-21,https://www.theguardian.com/us-news/2025/jun/21/mahmoud-khalil-released-family
Trump's Admin Is Policing Foreign Students' Social Media for 'Political Activism',,2025-06-21,https://www.rollingstone.com/politics/politics-news/trump-rubio-state-department-students-social-media-activism-1235369555/
Mahmoud Khalil met with cheers at airport in New Jersey,,2025-06-21,https://www.cnn.com/2025/06/21/us/video/mahmoud-khalil-newark-airport-return-digvid
Masked ICE officers: The new calling card of the Trump administration’s immigration crackdown,,2025-06-21,https://www.cnn.com/us/ice-immigration-officers-face-masks
Mahmoud Khalil Returns Home After Judge Orders Release From ICE Custody in Louisiana,,2025-06-21,https://www.vanityfair.com/news/story/mahmoud-khalil-returns-home-after-judge-orders-release-from-ice-custody-in-louisiana
New insight into Texas family detention reveals adults fighting kids for clean water,,2025-06-21,https://www.seattletimes.com/nation-world/nation/new-insight-into-texas-family-detention-reveals-adults-fighting-kids-for-clean-water/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all
Mahmoud Khalil arrives in New Jersey after release from ICE custody,,2025-06-21,https://www.cbsnews.com/news/mahmoud-khalil-ice-detention-release-arrives-new-jersey/
Caribbean Matters: Racist ICE raids target Dominicans in Puerto Rico,,2025-06-21,https://www.dailykos.com/story/2025/6/21/2328220/-Caribbean-Matters-Racist-ICE-raids-target-Dominicans-in-Puerto-Rico?pm_campaign=blog&pm_medium=rss&pm_source=
Trump and his minions keep lying about heinous ICE raids caught on camera,,2025-06-20,https://www.dailykos.com/story/2025/6/20/2329150/-Trump-and-his-minions-keep-lying-about-heinous-ICE-raids-caught-on-camera?pm_campaign=blog&pm_medium=rss&pm_source=
LA Dodgers defy Trump with $1 million for families hit by ICE raids,,2025-06-21,https://www.newsweek.com/los-angeles-dodgers-1-million-dollars-pledge-families-ice-raids-donald-trump-2088805
Courts side with college students in blow to Trump’s cruelty,,2025-06-20,https://www.dailykos.com/story/2025/6/20/2329218/-Courts-side-with-college-students-in-blow-to-Trump-s-cruelty?pm_campaign=blog&pm_medium=rss&pm_source=
Rep. Maxwell Frost introduces legislation to make ICE more accountable,,2025-06-21,https://www.dailykos.com/story/2025/6/21/2329198/-Rep-Maxwell-Frost-introduces-legislation-to-make-ICE-more-accountable?pm_campaign=blog&pm_medium=rss&pm_source=
Authoritarianism starts with arrest of public officials,,2025-06-21,https://www.baltimoresun.com/2025/06/21/authoritarianism-starts-with-arrest-of-public-officials-reader-commentary/
"Anti-Israel protester Mahmoud Khalil makes emotional return home, embraces wife, and holds telling press conference with AOC",,2025-06-21,https://nypost.com/2025/06/21/us-news/anti-israel-protestor-mahmoud-khalil-makes-emotional-return-home-embraces-wife-and-holds-telling-press-conference-with-aoc/
ICE Detention Numbers Have Reached a Record High,,2025-06-21,https://www.motherjones.com/politics/2025/06/ice-detention-numbers-record-high/
