count,name
"27,544",Alabama
613,Alaska
"31,921",Arizona
"15,122",Arkansas
"382,725",California
"75,136",Colorado
"39,613",Connecticut
"8,918",Delaware
"2,811",District Of Columbia
"517,268",Florida
"109,053",Georgia
"1,310",Hawaii
"12,512",Idaho
"164,775",Illinois
"75,029",Indiana
"20,400",Iowa
"22,748",Kansas
"41,721",Kentucky
"36,612",Louisiana
"8,140",Maine
"48,340",Maryland
"124,001",Massachusetts
"31,464",Michigan
"34,410",Minnesota
"11,136",Mississippi
"28,336",Missouri
"1,644",Montana
"23,753",Nebraska
"23,205",Nevada
"3,305",New Hampshire
"204,295",New Jersey
"5,657",New Mexico
"348,636",New York
"88,677",North Carolina
"2,137",North Dakota
"56,556",Ohio
"27,310",Oklahoma
"23,797",Oregon
"75,223",Pennsylvania
"9,960",Rhode Island
"49,375",South Carolina
"3,318",South Dakota
"70,276",Tennessee
"396,633",Texas
"47,544",Utah
842,Vermont
"53,477",Virginia
"53,871",Washington
962,West Virginia
"31,944",Wisconsin
"1,243",Wyoming
