id	stcode	stname	stcount	strep	stcount90	strep90	stpctrep	stpctrep90
01	AL	Alabama	27,544	6,365	216	38	23.1	17.6
02	AK	Alaska	613	264	25	4	43.1	16.0
04	AZ	Arizona	31,921	12,753	1,678	602	40.0	35.9
05	AR	Arkansas	15,122	3,929	115	47	26.0	40.9
06	CA	California	382,725	232,125	9,111	3,688	60.7	40.5
08	CO	Colorado	75,136	14,218	1,057	253	18.9	23.9
09	CT	Connecticut	39,613	10,159	587	129	25.6	22.0
10	DE	Delaware	8,918	3,847	90	37	43.1	41.1
11	DC	District Of Columbia	2,811	1,617	94	49	57.5	52.1
12	FL	Florida	517,268	115,948	10,507	1,600	22.4	15.2
13	GA	Georgia	109,053	26,761	2,373	576	24.5	24.3
15	HI	Hawaii	1,310	1,111	37	19	84.8	51.4
16	ID	Idaho	12,512	1,781	185	12	14.2	6.5
17	IL	Illinois	164,775	43,161	2,387	372	26.2	15.6
18	IN	Indiana	75,029	21,517	795	275	28.7	34.6
19	IA	Iowa	20,400	7,870	204	46	38.6	22.5
20	KS	Kansas	22,748	5,676	329	48	25.0	14.6
21	KY	Kentucky	41,721	9,823	720	192	23.5	26.7
22	LA	Louisiana	36,612	15,756	3,156	1,379	43.0	43.7
23	ME	Maine	8,140	4,806	139	51	59.0	36.7
24	MD	Maryland	48,340	26,490	1,033	488	54.8	47.2
25	MA	Massachusetts	124,001	57,939	1,208	438	46.7	36.3
26	MI	Michigan	31,464	9,297	692	201	29.5	29.0
27	MN	Minnesota	34,410	16,225	361	149	47.2	41.3
28	MS	Mississippi	11,136	4,813	1,585	852	43.2	53.8
29	MO	Missouri	28,336	6,978	398	105	24.6	26.4
30	MT	Montana	1,644	333	47	8	20.3	17.0
31	NE	Nebraska	23,753	10,730	260	97	45.2	37.3
32	NV	Nevada	23,205	8,525	536	204	36.7	38.1
33	NH	New Hampshire	3,305	1,829	113	54	55.3	47.8
34	NJ	New Jersey	204,295	66,362	2,995	547	32.5	18.3
35	NM	New Mexico	5,657	2,031	859	360	35.9	41.9
36	NY	New York	348,636	208,082	6,573	2,297	59.7	34.9
37	NC	North Carolina	88,677	17,931	662	111	20.2	16.8
38	ND	North Dakota	2,137	768	29	19	35.9	65.5
39	OH	Ohio	56,556	25,009	1,113	357	44.2	32.1
40	OK	Oklahoma	27,310	4,102	159	43	15.0	27.0
41	OR	Oregon	23,797	5,498	458	34	23.1	7.4
42	PA	Pennsylvania	75,223	37,003	1,579	690	49.2	43.7
44	RI	Rhode Island	9,960	5,335	214	63	53.6	29.4
45	SC	South Carolina	49,375	11,035	495	88	22.3	17.8
46	SD	South Dakota	3,318	1,613	38	8	48.6	21.1
47	TN	Tennessee	70,276	17,189	670	170	24.5	25.4
48	TX	Texas	396,633	86,157	11,587	3,653	21.7	31.5
49	UT	Utah	47,544	12,351	333	77	26.0	23.1
50	VT	Vermont	842	356	11	6	42.3	54.5
51	VA	Virginia	53,477	31,118	2,041	814	58.2	39.9
53	WA	Washington	53,871	20,548	1,295	376	38.1	29.0
54	WV	West Virginia	962	547	53	17	56.9	32.1
55	WI	Wisconsin	31,944	9,122	259	52	28.6	20.1
56	WY	Wyoming	1,243	448	19	6	36.0	31.6
