count,name
2,Autaugaville
5,Billingsley
6,Marbury
74,Prattville
63,Bay Minette
68,Daphne
62,Elberta
143,Fairhope
"1,026",Foley
312,Robertsdale
3,Stockton
119,Summerdale
16,Bakerhill
1,Clayton
35,Clio
68,Eufaula
0,Louisville
19,Centreville-Brent
3,Piper-Coleanor
28,West Blocton
32,Blountsville
36,Brooksville
26,Clarence
14,Cleveland
4,Hayden
15,Locust Fork
68,Oneonta
2,Fitzpatrick
11,Inverness
2,Midway
73,Union Springs
2,Chapman
3,Forest Home
0,Georgiana-McKenzie
39,Greenville
3,Alexandria-Webster Chapel
255,Anniston
20,Choccolocco
6,Jacksonville
7,Ohatchee
4,Piedmont
11,Five Points
11,La Fayette
296,Lanett
2,Milltown
736,Valley
5,Waverly
1,Cedar Bluff-Gaylesville
13,Centre
13,Leesburg
7,Spring Garden
81,Clanton
16,Isabella-Pletcher
113,Jemison
3,Maplesville
18,Mineral Springs
23,Verbena
5,Butler
1,Gilbertown-Toxey
0,Lisman
0,Silas
0,Coffeeville
1,Fulton
10,Grove Hill
3,Jackson
6,Thomasville
2,Walker Springs
5,Ashland
6,Lineville
1,Millerville-Hollins
3,Fruithurst
16,Heflin
4,Ranburne
9,Elba
368,Enterprise
15,Goodman
4,Jack
1,Kinston
1,Victoria
3,Cherokee
17,Leighton
35,Littleville
87,Tri-Cities
3,Castleberry
17,Evergreen
5,Lyeffion
0,Repton
1,Shreve
3,Goodwater-Kellyton
5,Rockford
0,Weogufka-Marble Valley
52,Andalusia
7,Falco
6,Florala
16,Opp
11,Rose Hill-Gantt
12,Brantley
7,Luverne
0,Petrey-Highland Home
22,Baileyton-Joppa
8,Bremen
0,Crane Hill
77,Cullman
12,Hanceville
13,Holly Pond
7,Jones Chapel
5,Logan
37,Simcoe
21,Vinemont
7,Welti
116,Daleville
4,Echo
0,Fort Rucker
37,Newton-Midland City
32,Ozark
0,Carlowville
0,Orrville
0,Safford
0,Sardis
14,Selma
2,Selmont-Tyler
53,Collinsville
207,Crossville
239,Fort Payne
20,Fyffe
70,Geraldine
8,Henagar
8,Ider
36,Rainsville-Sylvania
12,Valley Head-Mentone
16,Deatsville
7,Eclectic
142,Elmore
24,Elmore County-Tallassee
5,Titus
41,Wetumpka
5,Atmore
14,Brewton
8,East Escambia
7,Flomaton
2,McCullough-Huxford
13,Altoona
292,Gadsden
56,Hokes Bluff
25,Lookout Mountain
45,Mountainboro
18,Turkeytown
2,Wills Valley
0,Berry
2,Fayette
0,Northeast Fayette
6,Winfield-Glen Allen
34,Phil Campbell
15,Red Bay
470,Russellville
0,Vina
3,Bellwood-Coffee Springs
11,Geneva
10,Hartford
28,Samson
29,Slocomb
0,Boligee
0,Eutaw
0,Forkland-Tishabee
0,Mantua-West Greene
4,Greensboro
2,Greensboro Northeast
2,Greensboro South
8,Moundville
7,Newbern
1,Sawyerville
1,Stewart-Akron
1,Abbeville
2,Haleburg
16,Headland-Newville
0,Shorterville
2,Columbia
16,Cottonwood
430,Dothan
0,Gordon
43,Madrid
1,Bridgeport
3,Long Island
2,Paint Rock
6,Pisgah
3,Princeton
72,Scottsboro
8,Section
17,Stevenson
"4,296",Birmingham
6,Brookside
47,Clay
31,Concord-Rock Creek
65,Gardendale
63,Graysville-Adamsville
106,Greenwood
143,Hoover
17,Kimberly-Morris
49,Leeds
11,Maytown-Sylvan Springs
18,North Johns
20,Palmerdale
2,Robbins Crossroads
48,Trussville
3,Warrior
12,West Jefferson
0,Millport
1,Sulligent
2,Vernon
6,Cloverdale
185,Florence
2,Killen
0,Lexington
4,Oakland
2,Rogersville
4,Waterloo
3,Hatton
3,Hillsboro
25,Morris Chapel
4,Moulton
1,Mount Hope
10,Speake-Oakville
4,Town Creek-Courtland
"1,035",Auburn-Opelika
92,Beauregard-Marvyn
192,Beulah
69,Loachapoka-Roxana
74,Smiths Station
640,Athens
57,Mooresville
16,Salem
0,Benton-Collirene
0,Fort Deposit
3,Hayneville
0,Lowndesboro
0,Mosses
0,Fort Davis
9,Little Texas-Society Hill
9,Notasulga
0,Shorter-Hardaway
3,Tuskegee
4,Warriorstand-Creek Stand
12,Gurley
36,Hazel Green
"1,503",Huntsville
197,Madison
67,Madison Crossroads
23,New Hope
23,New Market
1,Redstone Arsenal
27,Triana
33,Demopolis
0,Dixons Mill
0,Faunsdale
5,Linden
0,Sweet Water
0,Thomaston
22,Bear Creek
4,Bexar
2,Brilliant
0,Guin
5,Hackleburg
29,Hamilton
11,Winfield
"1,681",Albertville-Boaz
31,Arab
136,Douglas
28,Grant
262,Guntersville
77,Town Creek
22,Union Grove
48,Bayou La Batre
32,Citronelle
134,Grand Bay
971,Mobile
16,Mount Vernon
120,Semmes
345,Tanner Williams
149,Theodore
0,Beatrice
1,Frisco City
1,Monroeville
0,Peterman
0,Uriah
0,Vredenburgh
55,Hope Hull
"1,845",Montgomery
49,Mount Meigs
148,Pike Road
0,Pine Level
0,Ramer
24,Danville
"1,038",Decatur
8,Eva
6,Falkville
71,Hartselle
39,Laceys Spring
36,Somerville
0,Hamburg
0,Heiberger
4,Marion
2,Sprott
0,Uniontown
21,Aliceville
9,Carrollton
0,Ethelsville
14,Gordo
5,Reform
2,Banks-Josie
4,Brundidge
4,Goshen-Shady Grove
8,Henderson-Spring Hill
4,Needmore
43,Troy
12,Folsom
6,Roanoke
2,Wadley
19,Wedowee
7,Woodland
3,Cottonton-Seale
18,Crawford
0,Hurtsboro
143,Phenix City
14,Ashville
55,Moody
28,Pell City
4,Ragland
20,Springville
831,Alabaster-Helena
61,Calera
87,Chelsea
36,Columbiana
124,Montevallo
6,Vincent
1,Wilsonville
0,Belmont
0,Cuba
0,Gainesville
2,Livingston
1,Panola-Geiger
0,York
13,Childersburg
1,Lincoln
41,Munford
2,Renfroe-Laniers
4,Sycamore-Winterboro
34,Sylacauga
34,Talladega
83,Alexander City
3,Camp Hill
8,Dadeville
4,New Site
19,Tallapoosa County-Tallassee
32,Abernant
33,Big Sandy-Duncanville
19,Brookwood
57,Coaling-Vance
16,Coker
10,Elrod-Moores Bridge-Echola
1,Fosters
238,Northport
12,Samantha
413,Tuscaloosa
7,Windham Springs
4,Carbon Hill
8,Cordova
5,Dora
0,Empire
148,Jasper
4,Manchester
3,Nauvoo
2,Oakman
7,Parrish
0,Quinton-Wegra
14,Sipsey
4,Townley
1,Chatom
1,Fruitdale
1,McIntosh
3,Millry
0,Wagarville
0,Alberta
5,Camden
0,Coy-Fatama
0,Pine Apple
0,Pine Hill
5,Addison
3,Double Springs
50,Haleyville
4,Lynn
1,Aleutians East census
4,Aleutians West census
461,Anchorage census
0,Aniak census
1,Lower Kuskokwim census
1,Bristol Bay census
0,Denali census
0,Dillingham census
73,Fairbanks North Star census
0,Haines census
0,Hoonah-Angoon census
0,Klukwan census
28,Juneau census
8,Kenai-Cook Inlet census
0,Seward-Hope census
4,Ketchikan census
8,Kodiak Island census
0,Kusilvak census
0,Lake and Peninsula census
21,Matanuska-Susitna census
2,Nome census
0,North Slope census
0,Northwest Arctic census
0,Petersburg census
0,Hyder census
0,Metlakatla Indian Community census
0,Prince of Wales census
1,Sitka census
0,Skagway census
0,Southeast Fairbanks census
0,Chugach census
0,Copper River census
0,Wrangell census
0,Yakutat census
0,Koyukuk-Middle Yukon census
0,McGrath-Holy Cross census
0,Yukon Flats census
0,Chinle
0,Dennehotso
5,Eagar-Springerville
0,Apache County-Fort Apache
0,Fort Defiance
0,Puerco
3,Apache County-St. Johns
0,Sweetwater
6,Benson
3,Bisbee
1,Bowie
3,Douglas
3,Elfrida
16,Sierra Vista
9,Willcox
205,Flagstaff
0,Havasupai
0,Coconino County-Hopi
0,Hualapai
1,Kaibab Plateau
15,Tuba City
30,Williams
0,Gila County-Fort Apache
11,Globe-Miami
43,Payson
0,Gila County-San Carlos
2,Tonto Basin
3,Winkelman
3,Bonita-Klondyke
3,Pima
14,Safford
0,Graham County-San Carlos
0,Clifton
0,Duncan
30,Parker
369,Buckeye
"1,027",Chandler
272,Deer Valley
119,Gila Bend
"24,742",Phoenix
16,Maricopa County-St. Johns
10,Salt River
1,Tonto National Forest
124,Wickenburg
166,Bullhead City
63,Kingman
71,Lake Havasu City
5,North Mohave
0,Navajo County-Fort Apache
0,Navajo County-Hopi
0,Indian Wells
0,Kayenta
0,Piñon
70,Snowflake
0,Winslow-Holbrook
9,Ajo
55,Arivaca
21,Marana
2,Pima County-Tohono O'odham Nation
"1,269",Tucson
115,Casa Grande
38,Coolidge
"1,081",Eloy
647,Florence
5,Gila River
200,Maricopa-Stanfield
297,North Pinal
21,San Manuel
1,Pinal County-Tohono O'odham Nation
26,Nogales
0,Patagonia
5,Ash Fork
85,Camp Verde-Sedona
6,Congress
10,Cordes Lakes-Mayer
124,Mingus Mountain
276,Prescott
48,Somerton
14,Wellton
101,Yuma
0,Arkansas
0,Barton
0,Bayou Meto
0,Arkansas County-Brewer
0,Arkansas County-Chester
0,Crockett
0,Arkansas County-Garland
28,Gum Pond
0,Henton
0,Keaton
5,La Grue
0,McFall
0,Mill Bayou
2,Morris
0,Point Deluce
0,Arkansas County-Prairie
0,Stanley
0,Ashley County-Banner
0,Ashley County-Bayou
0,Ashley County-Bearhouse
0,Beech Creek
14,Carter
0,De Bastrop
3,Egypt
0,Elon
1,Extra
4,Longview
0,Marais Saline
1,Ashley County-Mill Creek
0,Montrose
0,Portland
1,Ashley County-Prairie
0,Ashley County-Union
4,Ashley County-White
0,Wilmot
0,Baxter County-Bayou
0,Big Flat
0,Buckhorn
0,Buford
0,Baxter County-Greenwood
0,Baxter County-Grover
0,Baxter County-Independence
0,Baxter County-Logan
0,Lone Rock
0,Matney
0,Mill
5,Mountain Home
0,North Fork
0,Pigeon
0,Baxter County-Union
0,Baxter County-Whiteville
144,Benton County-Township 1
201,Benton County-Township 2
361,Benton County-Township 3
367,Benton County-Township 4
204,Benton County-Township 5
201,Benton County-Township 6
38,Benton County-Township 7
37,Benton County-Township 8
115,Benton County-Township 9
5,Township 10
63,Township 11
183,Township 12
181,Township 13
1,Batavia
1,Bellefonte
0,Blythe
1,Boone County-Bryan
1,Boone County-Carrollton
2,Elixir
0,Ewing
0,Gaither
1,Boone County-Jackson
0,Boone County-Jefferson
1,Boone County-Lee
1,Boone County-Long Creek
5,North Harrison
0,Olvey
2,Omaha
0,Boone County-Prairie
5,South Harrison
1,Boone County-Sugar Loaf
0,Summit
0,Zinc
0,Bradley County-Clay
0,Bradley County-Eagle
0,Bradley County-Marion
0,Moro
0,Bradley County-Ouachita
0,Palestine
81,Pennington
0,Bradley County-River
0,Sumpter
3,Bradley County-Washington
0,Calhoun County-Township 1
0,Calhoun County-Township 2
0,Calhoun County-Township 3
0,Calhoun County-Township 4
0,Calhoun County-Township 5
0,Calhoun County-Township 6
0,Calhoun County-Township 7
0,Calhoun County-Township 8
0,Calhoun County-Township 9
1,Carroll County-Beaver
3,Cabanal
2,Carroll County-Carrollton
5,Carroll County-Cedar
15,Coin
2,Cross
2,Dry Fork
1,Carroll County-Franklin
131,Hickory
3,Carroll County-Kings River
4,Carroll County-Liberty
12,Carroll County-Long Creek
1,North Yocum
3,Omega
6,Carroll County-Osage
1,Packard Springs
3,Carroll County-Piney
9,Polo
60,Carroll County-Prairie
11,South Yocum
1,Winona
0,Chicot County-Bowie
7,Carlton
9,Planters
13,Caddo
0,Bennett-Lemmons
0,Bradshaw-Haywood
0,Brown-Carpenter
0,Cache-Wilson
0,Chalk Bluff-Liddell
0,Clay County-Clark
0,Cleveland-North Kilgore
0,East Oak Bluff-Blue Cane
0,Gleghorn-South Kilgore
0,Clay County-Johnson
0,Knob
0,Nelson
0,North St. Francis
0,Payne-Swain
0,Pollard
0,South St. Francis
0,West Oak Bluff
0,Cleburne County-Cadron
0,Cleburne County-California
1,Center Post
1,Cleburne County-Clayton
1,Francis
2,Giles
0,Grassey
0,Healing Springs
1,Heber
0,McJester
0,Cleburne County-Morgan
0,Cleburne County-Mountain
0,Peter Creek
0,Pickens
0,Pine
0,Cleburne County-Piney
0,Poff
1,Cleburne County-Saline
0,Sugar Camp
0,Cleburne County-Sugar Loaf
0,Cleburne County-Valley
0,Wilburn
0,Bowman
0,Harper
0,Hudgin
2,Cleveland County-Hurricane
0,Kingsland
0,Cleveland County-Lee
0,Cleveland County-Miller
0,Cleveland County-Niven
0,Cleveland County-Redland
1,Rison
0,Rowell
0,Cleveland County-Saline
0,Cleveland County-Smith
0,Cleveland County-White Oak
1,Cleveland County-Whiteville
0,Emerson
1,McNeil
39,Magnolia
0,Columbia County-Taylor
1,Columbia County-Village
0,Waldo
0,Austin
2,Bentley
0,Conway County-Bird
0,Catholic Point
1,Cedar Falls
2,Gregory
1,Conway County-Griffin
0,Higgins
11,Howard
0,Lick Mountain
1,McLaren
0,Conway County-Martin
4,Nichols
1,Old Hickory
0,Conway County-Petit Jean
2,St. Vincent
2,Steele
0,Conway County-Union
3,Conway County-Washington
20,Welborn
0,White Eagle
6,Craighead County-Big Creek
0,Craighead County-Black Oak
7,Brookland
2,Buffalo
6,Gilkerson
3,Craighead County-Greenfield
4,Herndon
197,Jonesboro
0,Lake City
0,Lester
0,Craighead County-Little Texas
0,Craighead County-Maumelle
35,Nettleton
12,Powell
0,Craighead County-Prairie
0,Craighead County-Promised Land
0,Craighead County-Taylor
0,Craighead County-Texas
5,Alma
0,Bidville
0,Cedar Creek
1,Cedarville
0,Crawford County-Chester
0,Cove City
1,Dean Springs
5,Dora
1,Crawford County-Dyer
9,Crawford County-Jasper
1,Kibler
0,Lancaster
0,Crawford County-Lees Creek
0,Locke
0,Mountainburg
0,Crawford County-Mulberry
1,Oliver Springs
0,Porter
0,Rudy
2,Uniontown
0,Crawford County-Upper
110,Crawford County-Van Buren
0,Vine Prairie
0,Whitley
0,Winfrey
0,Crittenden County-Black Oak
0,Bob Ward
0,Fogleman
0,Crittenden County-Jackson
59,Crittenden County-Jasper
0,Lucas
45,Crittenden County-Mississippi
2,Mound City
0,Proctor
0,Crittenden County-Tyronza
1,Wappanocca
1,Bedford
0,Brushy Lake
0,Coldwater
1,Ellis
0,Fair Oaks
0,Cross County-Hickory Ridge
0,Mitchell
1,Searcy
2,Cross County-Smith
0,Twist
0,Cross County-Tyronza
11,Wynne
0,Bunn
0,Dallas County-Chester
0,Dry Run
3,Fordyce
0,Holly Springs
0,Dallas County-Jackson
0,Dallas County-Liberty
0,Manchester
0,Nix
0,Dallas County-Owen
0,Princeton
1,Dallas County-Smith
0,Southall
1,Willow
5,Desha County-Bowie
0,Desha County-Clayton
2,Desha County-Franklin
0,Halley
0,Desha County-Jefferson
0,Desha County-Mississippi
2,Randolph
0,Red Fork
0,Desha County-Richland
0,Silver Lake
0,Walnut Lake
0,Drew County-Bartholomew
0,Drew County-Bearhouse
0,Drew County-Clear Creek
0,Collins
0,Cominto
0,Crook
0,Drew County-Franklin
0,Live Oak
9,Drew County-Marion
0,Drew County-Saline
1,Spring Hill
2,Veasey
1,Benedict
1,Faulkner County-Benton
0,Bristol
430,Faulkner County-Cadron
1,Faulkner County-California
1,Clifton
4,Faulkner County-Cypress
5,Danley
18,Faulkner County-Eagle
1,East Fork
0,Enola
3,Hardin
5,Harve
0,Matthews
0,Faulkner County-Mountain
0,Mount Vernon
1,Newton
18,Palarm
23,Pine Mountain
1,Faulkner County-Union
1,Faulkner County-Walker
4,Faulkner County-Wilson
0,Alix
0,Barham
0,Franklin County-Black Oak
0,Franklin County-Boston
0,Cobb
0,Cravens
0,Donald
0,Franklin County-Grover
0,Hogan
0,Franklin County-Hurricane
0,Ivy
0,Limestone
0,McIlroy
1,Middle
0,Franklin County-Mill Creek
0,Franklin County-Miller
0,Franklin County-Morgan
0,Franklin County-Mountain
0,Franklin County-Mulberry
1,Franklin County-Prairie
0,Shores
0,Franklin County-Six Mile
0,Franklin County-Walker
0,Franklin County-Wallace
0,Watalula
0,Weaver
5,Franklin County-White Oak
0,White Rock
0,Wittich
0,Afton
8,Fulton County-Benton
0,Fulton County-Big Creek
1,Fulton County-Cleveland
0,Fulton County-Fulton
0,Mammoth Spring
0,Mount Calm
0,Myatt
0,Pleasant Ridge
0,South Fork
2,Fulton County-Strawberry
1,Fulton County-Union
2,Vidette
1,Fulton County-Washington
0,Fulton County-Wilson
16,Hale
202,Hot Springs
98,Lake Hamilton
60,Whittington
1,Calvert
1,Darysaw
0,Grant County-Davis
2,Dekalb
3,Grant County-Fenter
0,Grant County-Franklin
0,Grant County-Madison
5,Merry Green
0,Grant County-River
3,Simpson
5,Tennessee
1,Grant County-Washington
0,Blue Cane
0,Greene County-Breckenridge
0,Greene County-Bryan
2,Greene County-Cache
33,Greene County-Clark
1,Collier
0,Crowley
0,Evening Shade
0,Friendship
0,Hays
0,Hopewell
0,Greene County-Hurricane
0,Greene County-Jones
0,Greene County-Lake
0,Main Shore
3,Poland
0,Reynolds
3,Greene County-St. Francis
3,Greene County-Salem
0,Greene County-Shady Grove
12,Spring Grove
1,Greene County-Sugar Creek
4,Greene County-Union
0,Walnut Corner
3,Bodcaw
0,Bois d'Arc
78,De Roan
2,Hempstead County-Garland
6,Mine Creek
1,Noland
3,Ozan
0,Hempstead County-Redland
0,Hempstead County-Saline
9,Springhill
6,Wallaceburg
2,Water Creek
0,Hot Spring County-Antioch
1,Hot Spring County-Big Creek
1,Bismarck
0,Brown Springs
3,Butterfield
2,Hot Spring County-Clear Creek
1,De Roche
1,Hot Spring County-Dover
25,Hot Spring County-Fenter
2,Gifford
1,Hot Spring County-Harrison
2,Hot Spring County-Henderson
1,Lone Hill
5,Magnet
2,Midway
0,Montgomery
0,Hot Spring County-Ouachita
0,Hot Spring County-Prairie
3,Hot Spring County-Saline
0,Hot Spring County-Valley
0,Blackland
0,Blue Bayou
0,Blue Ridge
2,Howard County-Brewer
1,Buck Range
0,Burg
3,Center Point
0,Howard County-Clay
4,County Line
1,Dillard
0,Duckett
1,Howard County-Franklin
0,Holly Creek
1,Howard County-Madison
3,Mineral Springs
0,Howard County-Mountain
1,Howard County-Muddy Fork
37,Nashville
0,Howard County-Saline
0,Saratoga
1,Tollette
0,Umpire
19,Ashley
7,Independence County-Barren
2,Big Bottom-Wycough-Logan
0,Black River-Marshell
16,Cushman-Union
0,Departee
1,Dota
0,Fairview
12,Gainsboro
10,Greenbrier
0,Independence County-Hill
8,Huff
3,Independence County-Jefferson
0,Independence County-Liberty
48,McHue
4,Independence County-Magness
37,Moorefield
0,Oil Trough
0,Relief
3,Rosie
132,Ruddell
15,Salado
13,Independence County-Washington
7,Independence County-White River
0,Athens
4,Izard County-Baker
0,Barren Fork
0,Big Spring
0,Izard County-Bryan
0,Claiborne
0,Drytown
0,Izard County-Franklin
0,Gid
0,Guion
0,Izard County-Guthrie
0,Izard County-Jefferson
0,Lacrosse
0,Lafferty
0,Lunenburg
0,Izard County-Mill Creek
0,Mount Olive
0,Newburg
0,New Hope
0,Izard County-Pleasant Hill
0,Sage
0,Izard County-Strawberry
0,Izard County-Union
0,Violet Hill
0,Izard County-White River
0,Jackson County-Barren
0,Bateman
0,Jackson County-Bird
0,Jackson County-Breckenridge
0,Jackson County-Bryan
0,Jackson County-Cache
0,Cow Lake
0,Glaize
0,Glass
0,Grubbs
0,Jackson County-Jefferson
0,Jackson County-Richwoods
5,Jackson County-Union
2,Jackson County-Village
3,Barraque
0,Bogy
1,Jefferson County-Bolivar
0,Dudley Lake
0,Dunnington
9,Jefferson County-Jefferson
0,Melton
2,Jefferson County-Niven
0,Old River
0,Pastoria
2,Plum Bayou
0,Jefferson County-Richland
0,Roberts
3,Jefferson County-Spring
1,Talladega
56,Vaugine
0,Victoria
0,Villemont
26,Jefferson County-Washington
2,Jefferson County-Whiteville
0,Batson
1,Dickerson-Hill
0,Grant
1,Hickey
5,Horsehead
0,Howell
10,King
0,Johnson County-Lee
0,Johnson County-Low Gap
0,McKennon
0,Johnson County-Mulberry
1,Johnson County-Perry
6,Pittsburg
4,Johnson County-Prairie
9,Red Lick
0,Sherman
92,Spadra
2,Stonewall
1,Johnson County-Ward
0,Lafayette County-Baker
0,French
0,Hadley
1,La Grange
0,Mars Hill
0,Roane
0,Lafayette County-Russell
2,Steel
0,Walker Creek
0,Annieville
0,Ashland
3,Black River
1,Black Rock
0,Boas
0,Lawrence County-Cache
4,Campbell
0,Lawrence County-Dent
0,Dowell
0,Duty
0,Eaton
0,Flat Creek
0,Jesup
0,Lawrence
0,Lawrence County-Marion
1,Lawrence County-Morgan
0,Lawrence County-Promised Land
3,Reeds Creek
0,Lawrence County-Richwoods
0,Lawrence County-Spring River
0,Lawrence County-Strawberry
0,Thacker
0,Lee County-Big Creek
0,Council
0,Fleener
0,Hampton
0,Lee County-Hardy
0,Lee County-Independence
0,Oak Forest
0,Lee County-Richland
0,Lee County-St. Francis
0,Lee County-Spring Creek
0,Lee County-Texas
0,Lee County-Union
0,Auburn
0,Lincoln County-Bartholomew
2,Lincoln County-Cane Creek
0,Lincoln County-Choctaw
1,Gould
0,Kimbrough
0,Lone Pine
0,Lincoln County-Mill Creek
0,Lincoln County-Owen
0,Lincoln County-Smith
0,Lincoln County-Spring
0,Wells Bayou
0,Arden
0,Arkinda
0,Burke
0,Little River County-Caney
0,Little River County-Cleveland
0,Little River County-Franklin
2,Little River County-Jackson
0,Jeff Davis
2,Little River County-Jefferson
0,Jewell
0,Little River County-Johnson
0,Lick Creek
0,Little River County-Little River
0,Little River County-Red River
0,Little River County-Richland
1,Little River County-Wallace
1,Barber
0,Logan County-Blue Mountain
9,Logan County-Boone
0,Logan County-Cane Creek
1,Logan County-Cauthron
0,Logan County-Clark
1,Delaware
0,Driggs
0,Ellsworth
0,Logan County-Johnson
0,Logan County-Logan
0,Logan County-Mountain
0,Logan County-Petit Jean
1,Reveilee
0,Logan County-River
0,Roseville
0,Shoal Creek
2,Short Mountain
0,Logan County-Six Mile
1,Logan County-Sugar Creek
1,Logan County-Tomlinson
1,Logan County-Washburn
3,Lonoke County-Butler
12,Carlisle
7,Caroline
1,Lonoke County-Cleveland
0,Crooked Creek
0,Dortch
4,Lonoke County-Eagle
1,Lonoke County-Fletcher
3,Furlow
6,Goodrum
9,Lonoke County-Gray
7,Gum Woods
1,Hamilton
1,Indian Bayou
0,Isbell
1,Lonoke County-Lafayette
13,Lonoke
11,Lonoke County-Magness
8,Oak Grove
0,Pettus
1,Lonoke County-Prairie
0,Pulaski
0,Lonoke County-Richwoods
0,Lonoke County-Scott
2,Totten
0,Walls
4,Lonoke County-Ward
0,Williams
52,York
8,Alabam
2,Madison County-Boston
2,Madison County-Bowen
10,Madison County-California
2,Hilburn
2,Japton
2,Madison County-Kings River
2,Madison County-Lamar
0,Madison County-Lincoln
2,Madison County-Marble
1,Madison County-Mill Creek
7,Madison County-Prairie
1,Madison County-Richland
1,Madison County-Valley
25,War Eagle
3,Wharton
0,Marion County
0,Beech
6,Miller County-Cleveland
0,Cut Off
3,Days Creek
98,Miller County-Garland
0,Homan
0,Miller County-Red River
0,Sulphur
8,Big Lake
24,Mississippi County-Bowen
1,Burdette
3,Canadian
1,Carson
102,Chickasawba
0,Dyess
6,Mississippi County-Fletcher
4,Golden Lake
3,Half Moon Lake
2,Hector
4,Mississippi County-Little River
0,McGavock
38,Mississippi County-Monroe
15,Neal
0,Mississippi County-Scott
0,Whitton
2,Brinkley
0,Brown
0,Monroe County-Cache
0,Monroe County-Cleburne
0,Cypress Ridge
0,Dixon
1,Duncan
0,Monroe County-Greenfield
0,Hindman
0,Monroe County-Jackson
0,Keevil
0,Montgomery-Smalley
0,Pine Ridge
0,Raymond
0,Monroe County-Richland
0,Monroe County-Roc Roe
0,Alamo
0,Black Springs
2,Caddo Gap
3,Montgomery County-Caney
0,Montgomery County-Center
1,Fannie
1,Hopper
1,Mount Ida
0,Norman
5,Oden
0,Pencil Bluff
0,Sims
2,Washita
0,Alabama
0,Albany
0,Boughton
0,Nevada County-Caney
0,Emmet
0,Georgia
0,Nevada County-Jackson
0,Leake
1,Nevada County-Missouri
0,Parker
0,Nevada County-Redland
0,Nevada County-Taylor
0,Nevada County-Union
0,Newton County-Big Creek
0,Newton County-Boston
0,Grove
0,Hasty
0,Hickory Grove
0,Hudson
0,Newton County-Jackson
0,Newton County-Jefferson
0,Newton County-Jones
0,Newton County-Kentucky
0,Newton County-Lincoln
0,Newton County-Low Gap
0,Marble Falls
0,Murray
2,Newton County-Osage
0,Newton County-Pleasant Hill
0,Plumlee
0,Polk
0,Ponca
0,Newton County-Prairie
0,Newton County-Richland
0,Newton County-Van Buren
0,Newton County-White
0,Behestian
2,Ouachita County-Bradley
0,Bragg
0,Bridge Creek
0,Carroll
0,Ouachita County-Cleveland
7,Ecore Fabre
0,Freeo
0,Ouachita County-Jefferson
4,Ouachita County-Lafayette
0,Ouachita County-Liberty
0,Ouachita County-Marion
0,Red Hill
0,Ouachita County-River
0,Ouachita County-Smackover
1,Ouachita County-Union
1,Ouachita County-Valley
0,Ouachita County-Washington
0,Aplin
3,Casa
0,Cherry Hill
2,Fourche Lafave
1,Houston
0,Kenney
0,Perry County-Lake
1,Perry County-Maumelle
0,New Tennessee
1,Perry County-Perry
0,Perry County-Petit Jean
1,Rankin
1,Rose Creek
0,Perry County-Tyler
1,Perry County-Union
0,Union Valley
1,Wye
0,Phillips County-Big Creek
0,Phillips County-Cleburne
0,Phillips County-Cleveland
0,Phillips County-Cypress
0,Phillips County-Hickory Ridge
0,Hicksville
3,Hornor
0,Phillips County-Lake
0,Phillips County-Marion
0,Mooney
0,Phillips County-St. Francis
0,Phillips County-Spring Creek
0,Tappan
0,Antoine
2,Pike County-Brewer
8,Pike County-Clark
1,Pike County-Eagle
0,Pike County-Missouri
0,Pike County-Mountain
1,Pike County-Muddy Fork
0,Pike City
0,Pike County-Saline
0,Self Creek
1,Thompson
0,Pike County-White
